"Source";"Target";"Weight"
"Cntn1";"Rev1";"0.625"
"Ttc3";"Rev1";"0.556"
"Mapre2";"Rev1";"0.546"
"Wdr7";"Rev1";"0.569"
"Gls";"Pid1";"0.512"
"Gls";"Esrrg";"0.516"
"Gls";"Mllt10";"0.552"
"Sptan1";"Gls";"0.566"
"Scn1a";"Gls";"0.545"
"Gls";"Osbpl6";"0.603"
"Lrrc4c";"Gls";"0.513"
"Frmd5";"Gls";"0.591"
"Trpm7";"Gls";"0.532"
"Gls";"Snap25";"0.507"
"Snph";"Gls";"0.526"
"Snhg11";"Gls";"0.6"
"Gls";"Sclt1";"0.507"
"Ank2";"Gls";"0.568"
"Gls";"Pnisr";"0.557"
"Lingo2";"Gls";"0.513"
"Gls";"Elavl4";"0.535"
"Agbl4";"Gls";"0.526"
"Magi2";"Gls";"0.601"
"Gls";"Lhfpl3";"0.517"
"Gls";"Pcdh7";"0.507"
"Gls";"Slc25a13";"0.542"
"Ccser1";"Gls";"0.513"
"Grid2";"Gls";"0.575"
"Gls";"Exoc6b";"0.502"
"Gls";"Magi1";"0.501"
"Gls";"Bicd1";"0.562"
"Gls";"Gabrb3";"0.519"
"Ube3a";"Gls";"0.582"
"Gls";"Grm5";"0.501"
"Gls";"Me3";"0.539"
"Dlg2";"Gls";"0.506"
"Fam155a";"Gls";"0.563"
"Gls";"Zmat4";"0.584"
"Gls";"Eps15l1";"0.555"
"Cadps";"Gls";"0.579"
"Ube2e2";"Gls";"0.51"
"Kcnma1";"Gls";"0.521"
"Nrg3";"Gls";"0.569"
"Pcdh9";"Gls";"0.523"
"Mycbp2";"Gls";"0.57"
"Fgf14";"Gls";"0.596"
"Gria4";"Gls";"0.536"
"Ntm";"Gls";"0.616"
"Snap91";"Gls";"0.537"
"Gls";"Ehbp1";"0.531"
"Gls";"Ccdc88a";"0.558"
"Gls";"Msi2";"0.537"
"Gls";"Dip2c";"0.516"
"Pde4d";"Gls";"0.56"
"Mdga2";"Gls";"0.548"
"Meg3";"Gls";"0.538"
"Rbfox1";"Gls";"0.587"
"Dscam";"Gls";"0.612"
"Nrxn1";"Gls";"0.515"
"ENSMUSG00000041670";"Gls";"0.559"
"Gls";"ENSMUSG00000102657";"0.599"
"Gls";"ENSMUSG00000039652";"0.533"
"Clasp1";"Hecw2";"0.522"
"Sptan1";"Hecw2";"0.549"
"Mbd5";"Hecw2";"0.505"
"Upp2";"Hecw2";"0.514"
"Lrrc4c";"Hecw2";"0.527"
"Frmd5";"Hecw2";"0.569"
"Snhg11";"Hecw2";"0.509"
"Gria2";"Hecw2";"0.517"
"Ank2";"Hecw2";"0.52"
"Hecw2";"Camta1";"0.549"
"Dync1i1";"Hecw2";"0.517"
"Nrg3";"Hecw2";"0.526"
"Mycbp2";"Hecw2";"0.543"
"Ntm";"Hecw2";"0.518"
"Hecw2";"Ryr2";"0.523"
"Pde4d";"Hecw2";"0.53"
"Mdga2";"Hecw2";"0.523"
"Hecw2";"Gphn";"0.511"
"Meg3";"Hecw2";"0.533"
"Cntn1";"Hecw2";"0.505"
"Slc38a1";"Hecw2";"0.515"
"Pde10a";"Hecw2";"0.517"
"Rbm28";"Abi2";"0.545"
"Glg1";"Abi2";"0.531"
"Ttc3";"Abi2";"0.506"
"Rgs7";"Unc80";"0.505"
"Scn1a";"Unc80";"0.524"
"4930402H24Rik";"Unc80";"0.504"
"Snhg11";"Unc80";"0.584"
"Ogt";"Unc80";"0.566"
"Nlgn1";"Unc80";"0.552"
"Zranb2";"Unc80";"0.505"
"Sgip1";"Unc80";"0.538"
"Agbl4";"Unc80";"0.501"
"Macf1";"Unc80";"0.513"
"Magi2";"Unc80";"0.5"
"Caln1";"Unc80";"0.539"
"Lrrtm4";"Unc80";"0.509"
"Adarb1";"Unc80";"0.55"
"Fam155a";"Unc80";"0.551"
"Cadps";"Unc80";"0.504"
"Ube2e2";"Unc80";"0.51"
"Kcnma1";"Unc80";"0.528"
"Nrg3";"Unc80";"0.517"
"Chrm3";"Unc80";"0.539"
"Meg3";"Unc80";"0.631"
"Kif21a";"Unc80";"0.566"
"Son";"Unc80";"0.523"
"Dscam";"Unc80";"0.545"
"Nrxn1";"Unc80";"0.517"
"Malat1";"Unc80";"0.511"
"Hspa12a";"Unc80";"0.518"
"ENSMUSG00000097451";"Unc80";"0.512"
"Negr1";"Erbb4";"0.548"
"Fam155a";"Erbb4";"0.548"
"Nrg3";"Erbb4";"0.564"
"Dach1";"Erbb4";"0.528"
"Stmn3";"Resp18";"0.592"
"Map7d2";"Resp18";"0.516"
"Ndufa4";"Resp18";"0.522"
"Atp6v0c-ps2";"Resp18";"0.531"
"Bsg";"Resp18";"0.514"
"Gm1821";"Resp18";"0.604"
"Gm10123";"Resp18";"0.5"
"Ubb";"Resp18";"0.614"
"Calm1";"Resp18";"0.52"
"Cox6c";"Resp18";"0.501"
"Fth1";"Resp18";"0.574"
"Nav1";"Pid1";"0.531"
"Esrrg";"Pid1";"0.505"
"Scn1a";"Pid1";"0.561"
"Osbpl6";"Pid1";"0.547"
"Frmd5";"Pid1";"0.514"
"Snhg11";"Pid1";"0.51"
"Ank2";"Pid1";"0.515"
"Lingo2";"Pid1";"0.524"
"Macf1";"Pid1";"0.589"
"Magi2";"Pid1";"0.546"
"Lhfpl3";"Pid1";"0.515"
"Pid1";"Pcdh7";"0.542"
"Pid1";"Chchd3";"0.522"
"Ccser1";"Pid1";"0.576"
"Ctnna2";"Pid1";"0.539"
"Pid1";"Srgap3";"0.514"
"Pid1";"Bicd1";"0.569"
"Ube3a";"Pid1";"0.503"
"Dlg2";"Pid1";"0.514"
"Pid1";"Rmst";"0.562"
"Pid1";"Syt1";"0.575"
"Fam155a";"Pid1";"0.61"
"Kcnma1";"Pid1";"0.509"
"Nrg3";"Pid1";"0.616"
"Pid1";"Atp8a2";"0.535"
"Pcdh9";"Pid1";"0.554"
"Fgf14";"Pid1";"0.503"
"Opcml";"Pid1";"0.5"
"Ntm";"Pid1";"0.561"
"Pid1";"Eml6";"0.501"
"Pid1";"Msi2";"0.559"
"Pid1";"Nsf";"0.551"
"Pid1";"Dip2c";"0.542"
"Pde4d";"Pid1";"0.571"
"Meg3";"Pid1";"0.581"
"Pid1";"Trio";"0.508"
"Ctnnd2";"Pid1";"0.51"
"Rbfox1";"Pid1";"0.509"
"Dscam";"Pid1";"0.543"
"Dlgap1";"Pid1";"0.58"
"Nrxn1";"Pid1";"0.543"
"Pid1";"Nrg2";"0.509"
"Malat1";"Pid1";"0.504"
"Pid1";"ENSMUSG00000037876";"0.524"
"Dner";"Nfasc";"0.514"
"Dner";"Syt2";"0.524"
"Dner";"Esrrg";"0.521"
"Dner";"Frmd4a";"0.586"
"Dner";"Sptan1";"0.604"
"Snhg11";"Dner";"0.559"
"Dner";"Il1rapl1";"0.519"
"Dner";"Rtl4";"0.513"
"Dner";"Vav3";"0.55"
"Ank2";"Dner";"0.645"
"Dner";"Chd7";"0.511"
"Dner";"Sgip1";"0.506"
"Dner";"Osbpl9";"0.502"
"Dner";"Agbl4";"0.534"
"Dner";"Macf1";"0.599"
"Dner";"Camta1";"0.5"
"Magi2";"Dner";"0.645"
"Dner";"Lhfpl3";"0.52"
"Dner";"Pcdh7";"0.525"
"Dner";"Caln1";"0.518"
"Dner";"Ccser1";"0.553"
"Ctnna2";"Dner";"0.556"
"Dner";"Atp2b2";"0.503"
"Dner";"Bicd1";"0.551"
"Ube3a";"Dner";"0.545"
"Dner";"Dlg2";"0.624"
"Dner";"Syt1";"0.517"
"Fam155a";"Dner";"0.559"
"Dner";"Cadps";"0.551"
"Nrg3";"Dner";"0.548"
"Dner";"Atp8a2";"0.516"
"Pcdh9";"Dner";"0.584"
"Dner";"Fgf14";"0.5"
"Dner";"Ntm";"0.512"
"Dner";"Msi2";"0.52"
"Map1b";"Dner";"0.556"
"Pde4d";"Dner";"0.567"
"Meg3";"Dner";"0.585"
"Dner";"Asap1";"0.543"
"Dner";"Rbfox1";"0.594"
"Dscam";"Dner";"0.514"
