"","structure.acronym.IN","structure.acronym","normalized_projection_volume","projection_volume","Group"
"163","ACAv","LP",0.184655197959425,0.04105598525,"CH"
"164","ACAv","MOs",0.94785952682729,0.210745796395312,"CH"
"165","ACAv","AN",0.000919807662166597,0.000204508783007812,"CH"
"166","ACAv","MD",0.395454019659551,0.0879247082,"CH"
"167","ACAv","SIM",0.000643179386484211,0.00014300362890625,"CH"
"168","ACAv","SSs",0.0183385203451966,0.00407736164006958,"CH"
"169","ACAv","DG",0.00501829239251747,0.00111576029661865,"CH"
"170","ACAv","VM",0.317184734387116,0.0705224219,"CH"
"171","ACAv","LD",0.238425357959657,0.0530111694,"CH"
"172","ACAv","PYR",0,0,"CH"
"173","ACAv","PFL",0.0040843268875603,0.000908103678125,"CH"
"174","ACAv","BLA",0.00907485501589469,0.00201769090605469,"CH"
"175","ACAv","VAL",0.12953568949491,0.0288007888,"CH"
"176","ACAv","VPM",0.00142812836402258,0.000317528115625,"CH"
"177","ACAv","RN",0.068345683181011,0.015195886125,"CH"
"178","ACAv","PVT",0.0224962099057399,0.005001776675,"CH"
"179","ACAv","PG",0.126765632050109,0.028184898,"CH"
"180","ACAv","AAA",0.000703915947116645,0.000156507713085937,"CH"
"181","ACAv","VPL",0.0301910933789239,0.0067126465875,"CH"
"182","ACAv","CP",5.00136600019449,1.1119969056,"CH"
"183","ACAv","AV",0.0974871262859466,0.0216751549,"CH"
"184","ACAv","CUL",0.000666396726307141,0.000148165740625,"CH"
"185","ACAv","CEA",0,0,"CH"
"186","ACAv","SSp",0.0449311479148791,0.00556857567185211,"CH"
"187","ACAv","AI",0.00538124371274897,0.000666928494235015,"CH"
"188","ACAv","ACB",0.0379740278135779,0.00470633975,"CH"
"189","ACAv","RPO",0.00563583492888158,0.0006984814484375,"CH"
"190","ACAv","MOp",0.0564761746522359,0.00699941725957031,"CH"
"191","ACAv","PRM",0.000446725587314676,5.5365272265625e-05,"CH"
"192","ACAv","PG",0.0749932315818675,0.0092943426625,"CH"
"193","ACAv","CP",4.3726488858458,0.5419275344,"CH"
"194","ACAv","PYR",0,0,"CH"
"195","ACAv","PB",2.16611101245062e-05,2.68458600463867e-06,"CH"
"196","ACAv","VPL",0.0419418284575853,0.0051980921125,"CH"
"197","ACAv","PT",0.00292801426931652,0.0003628856546875,"CH"
"198","ACAv","CENT",0.000470638607295085,5.83289504150391e-05,"CH"
"199","ACAv","AN",0.00126837618666134,0.000157197158398437,"CH"
"200","ACAv","MOs",0.906120707793817,0.112300752670312,"CH"
"201","ACAv","ACAd",2.38418856155986,0.29548620583125,"CH"
"202","ACAv","SSs",0.00100708509716051,0.000124813850341797,"CH"
"203","ACAv","SIM",0.000692658304735887,8.584512890625e-05,"CH"
"204","ACAv","PFL",0.00142137075786048,0.000176158655859375,"CH"
"205","ACAv","LH",0.0368870625213995,0.0045716258875,"CH"
"206","ACAv","ZI",0.683737577059278,0.0847395318,"CH"
"207","ACAv","MD",0.15959900991868,0.01978002355,"CH"
"208","ACAv","VPM",0.00228850583736499,0.0002836276953125,"CH"
"209","ACAv","CUL",0.00163678692383892,0.000202856420703125,"CH"
"210","ACAv","CA3",0.000859574937667787,0.000106532067578125,"CH"
"211","ACAv","PVT",0.00230430936314264,0.0002855863171875,"CH"
"212","ACAv","NOD",0.000202391863366796,2.50835880859375e-05,"CH"
"213","ACAv","CA1",2.07964711219216e-05,2.57742631835937e-06,"CH"
"214","ACAv","RN",0.0114606561064127,0.00142038505,"CH"
"215","ACAv","LD",0.390741459486942,0.0484268372,"CH"
"216","ACAv","DG",0.00268742644404667,0.000333068221282959,"CH"
"217","ACAv","LP",0.223034083162857,0.02764189715,"CH"
"218","ACAv","VAL",0.132360339034553,0.01640417835,"CH"
"219","ACAv","CLA",0.0317999333959228,0.00394114870625,"CH"
"220","ACAv","VM",0.171377224105733,0.0212397654,"CH"
"221","ACAv","MH",0.000536337368425723,6.64713758789062e-05,"CH"
"222","ACAv","AM",0.171214516114434,0.0212196000625,"CH"
"223","ACAv","PO",0.0308903911284276,0.0038284239,"CH"
"224","ACAv","BLA",1.58402595484638e-05,1.96317450256348e-06,"CH"
"225","ACAv","IP",0,0,"CH"
"226","ACAv","FN",0,0,"CH"
"227","ACAv","AV",0.107218235466071,0.0132881728,"CH"
"228","ACAv","RSPv",0.787090713177311,0.0975486806,"CH"
"229","ACAv","RSPd",1.35358772337054,0.16775791440625,"CH"
"230","ACAv","AAA",0,0,"CH"
"231","SSp","RSPd",1.51499674803436e-05,1.4989522661908e-05,"CH"
"232","SSp","DG",0.000240627509686094,0.000238079158532715,"CH"
"233","SSp","MOp",2.18737198652371,2.1642067552,"CH"
"234","SSp","VPL",0.0674902313313932,0.0667754801,"CH"
"235","SSp","AN",0.00101509661074908,0.00100434629121094,"CH"
"236","SSp","PT",3.40382518339811e-05,3.36777717773437e-05,"CH"
"237","SSp","CEA",0.0283022186424839,0.0280024857,"CH"
"238","SSp","MH",0,0,"CH"
"239","SSp","PO",0.13899341196071,0.1375214106,"CH"
"240","SSp","FN",1.22010402102864e-07,1.20718258285522e-07,"CH"
"241","SSp","IP",3.64311937506478e-05,3.60453713867187e-05,"CH"
"242","SSp","ACB",0.00946605084149503,0.0093658012,"CH"
"243","SSp","NOD",1.2709510215799e-05,1.25749109130859e-05,"CH"
"244","SSp","PG",0.0797874732313293,0.0789424888,"CH"
"245","SSp","PRM",0.000852744714998755,0.0008437137734375,"CH"
"246","SSp","LP",1.11077552144718e-06,1.09901192016602e-06,"CH"
"247","SSp","MD",0.016586386780549,0.01641072965,"CH"
"248","SSp","AV",0,0,"CH"
"249","SSp","AI",0.79123937416108,0.782859801208789,"CH"
"250","SSp","VAL",0.113478406633021,0.1122766204,"CH"
"251","SSp","PYR",0,0,"CH"
"252","SSp","CA1",1.25695358333418e-05,1.24364189208984e-05,"CH"
"253","SSp","CLA",0.0170200392761943,0.016839789575,"CH"
"254","SSp","PFL",0.000249303128996081,0.00024666289921875,"CH"
"255","SSp","PB",0.0215420074326924,0.0213138681,"CH"
"256","SSp","VPM",0.288785994689229,0.285727624,"CH"
"257","SSp","PVT",0.000812279418146316,0.000803677021875,"CH"
"258","SSp","CUL",0.000114090641949276,0.000112882371875,"CH"
"259","SSp","SSs",1.2171431430737,1.2042530619,"CH"
"260","SSp","ACAv",3.89334017852077e-05,3.85210799377441e-05,"CH"
"261","SSp","LH",5.82740638582198e-06,5.76569158935547e-06,"CH"
"262","SSp","SIM",0.000266327964254461,0.000263507433984375,"CH"
"263","SSp","AAA",0.000475464781137358,0.0004704294,"CH"
"264","SSp","RN",0.00920212309306613,0.0091046685625,"CH"
"265","SSp","RSPv",6.86963292850996e-05,6.79688049459457e-05,"CH"
"266","SSp","AM",1.89892495109454e-05,1.87881450073242e-05,"CH"
"267","SSp","VM",0.0598561853268203,0.059222282,"CH"
"268","SSp","ZI",0.048029059563524,0.0475204107,"CH"
"269","SSp","MOs",0.954811780858129,0.94469990418125,"CH"
"270","SSp","CP",2.96375665763777,2.9323691712,"CH"
"271","SSp","RPO",0.000100127851498316,9.9067453515625e-05,"CH"
"272","SSp","CA3",0.00089075591880151,0.000881322421875,"CH"
